Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
8553,NS de Oliveira e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1725,,"Alvão, Manoel R"
8554,Aleluia da Ressurreição e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1725,,"Ramos, Carlos Neto"
8555,NS da Conceição e S Antônio,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1725,,"Palha, Diogo Coceiro"
8556,NS do Carmo e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1725,,"Pereria da Almeida, Manoel"
8557, ,,Luanda,,1725,,
8558,NS do Rosario e S Lourenço,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Teles, Valentim Rodrigues"
8559,S Antônio Santana e Almas,Rio de Janeiro,Luanda,Rio de Janeiro,1726,,"Távora, João de"
8560,NSr do Bonfim e NS da Oliveira,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Salgado, Luís Ferreira"
8561,NS do Rosario e S Caetano,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Souza, Manoel Coelho de"
8562,S Cruz da Piedade,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Vaginel, Francisco"
8563,NS de Nazaré e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Almeida, Caetano Pereira de"
8564,NS da Piedade S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Azevedo, Antônio Gonçalves de"
8565,Bom Jesus S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Francisco, Gonçalo"
8566,NS da Encarnação e Menino Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Soares, Faustino"
8567,NS de Nazaré e S Francisco Xavier,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Fonseca, Manoel de Oliveira da"
8568,NS da Mãe de Deus e S Caetano,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Neto, Antônio"
8569,NS da Conceição e S Antônio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Cobra, José Ferreira"
8570,NS de Nazaré S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Barbosa, Manoel"
8571,NS do Socorro e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Porto, João Luís"
8572,NS de Todo o Bem,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Reinão, Manoel Gonçalves"
8573,S Inácio e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Neves, Manoel Gonçalves das"
8574,Jesus Maria José,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1726,,"Costa, José da"
8575,NS do Monte do Carmo e Santana,Rio de Janeiro,Luanda,Rio de Janeiro,1726,,"Antão, Caetano Lopes"
8576,NS dos Prazeres e Todos os Santos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Álvares, Francisco"
8577,NS do Monte do Carmo e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1726,,"Almeida, Manoel Pereira de"
8578,S Domingos e NS do Rosario,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1726,,"Coelho, Manoel"
8579,Bom Jesus e S Miguel,Rio de Janeiro,Luanda,Rio de Janeiro,1727,,"Ferreira, Manoel Martins"
8580,S João Batista e NS da Conceição,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Araújo, Manoel Correa de"
8581,NS do Cabo e S Cruz,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1727,,"Nogueira, João"
8582,NS da Penha da França e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Rocha, Simão da"
8583,NS do Socorro S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Guedes, Pedro de Souza"
8584,NS de Nazaré S Francisco e Almas,Rio de Janeiro,Luanda,Rio de Janeiro,1727,,"Quaresma, José"
8585,NS do Vale e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Nunes, José Rodrigues"
8586,Rainha Santa e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Neto, Antônio"
8587,S Pedro e S Paulo,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Rodrigues, André"
8588,NS do Socorro e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Cunha, Luís da Silva"
8589,NS da Lembrança e S Caetano,Rio de Janeiro,Luanda,Rio de Janeiro,1727,,"Silva, Henrique da"
8590,NS Mãe de Deus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Leitão, José Gomes"
8591,NS do Rosario e S Lourenço,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Pinto, José de Moraes"
8592,Jesus Maria José e Santana,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1727,,"Pracera, Manoel Francisco"
8593,S Inácio e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Silva, Manoel Fernandes da"
8594,S Antônio Santana e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,424,"Távora, João de<br/> Bitencourt, João"
8595,NS do Monte do Carmo e Santana,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Antão, Caetano Lopes"
8596,Bom Jesus S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1727,,"Vieira, Francisco"
8597,NS Mãe de Deus e S Bernardo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1727,,"Vale, Francisco da Silva"
8598,NS do Rosario e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Viana, Nicolau Barbosa"
8599,S Lourenço e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Salgado, João Ferreira"
8600,NS Mãe de Deus S José e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Souza, João da Silva"
8601,NS da Conceição S Antônio e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1728,,"Carvalho, Manoel do Vale de"
8602,NS do Livramento S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Brito, Inácio de"
